instanceName,optimumFO,bestFO,optimumRuntime,runtime,relativeError,repetition
n_600_c_100000000_g_2_f_0.1_eps_0.01_s_100,51003102,51003102,0.06472842395305634,0.00321197509765625,0.0,0
n_600_c_100000000_g_2_f_0.1_eps_0.01_s_100,51003102,51003102,0.06472842395305634,0.003866434097290039,0.0,1
n_600_c_100000000_g_2_f_0.1_eps_0.01_s_100,51003102,51003102,0.06472842395305634,0.003150463104248047,0.0,2
n_600_c_100000000_g_2_f_0.1_eps_0.01_s_100,51003102,51003102,0.06472842395305634,0.004960775375366211,0.0,3
n_600_c_100000000_g_2_f_0.1_eps_0.01_s_100,51003102,51003102,0.06472842395305634,0.002887725830078125,0.0,4
n_600_c_100000000_g_2_f_0.1_eps_0.01_s_100,51003102,51003099,0.06472842395305634,0.003049135208129883,5.8819951774697936e-08,5
n_600_c_100000000_g_2_f_0.1_eps_0.01_s_100,51003102,51003102,0.06472842395305634,0.002669811248779297,0.0,6
n_600_c_100000000_g_2_f_0.1_eps_0.01_s_100,51003102,51003099,0.06472842395305634,0.0029020309448242188,5.8819951774697936e-08,7
n_600_c_100000000_g_2_f_0.1_eps_0.01_s_100,51003102,-139663930520548965,0.06472842395305634,0.004941225051879883,2738341886.961151,8
n_600_c_100000000_g_2_f_0.1_eps_0.01_s_100,51003102,51003102,0.06472842395305634,0.007790088653564453,0.0,9
n_600_c_10000000000_g_2_f_0.2_eps_0_s_200,5000012736,5000012736,0.42941506393253803,0.0036118030548095703,0.0,0
n_600_c_10000000000_g_2_f_0.2_eps_0_s_200,5000012736,5000012736,0.42941506393253803,0.00804901123046875,0.0,1
n_600_c_10000000000_g_2_f_0.2_eps_0_s_200,5000012736,5000012736,0.42941506393253803,0.004717350006103516,0.0,2
n_600_c_10000000000_g_2_f_0.2_eps_0_s_200,5000012736,-7909355672477702592,0.42941506393253803,0.00603795051574707,1581867106.1636503,3
n_600_c_10000000000_g_2_f_0.2_eps_0_s_200,5000012736,5000012736,0.42941506393253803,0.003139495849609375,0.0,4
n_600_c_10000000000_g_2_f_0.2_eps_0_s_200,5000012736,5000012736,0.42941506393253803,0.0036177635192871094,0.0,5
n_600_c_10000000000_g_2_f_0.2_eps_0_s_200,5000012736,5000012736,0.42941506393253803,0.004374504089355469,0.0,6
n_600_c_10000000000_g_2_f_0.2_eps_0_s_200,5000012736,5000012736,0.42941506393253803,0.003989458084106445,0.0,7
n_600_c_10000000000_g_2_f_0.2_eps_0_s_200,5000012736,-8693891506301342580,0.42941506393253803,0.004243612289428711,1738773873.2554612,8
n_600_c_10000000000_g_2_f_0.2_eps_0_s_200,5000012736,5000012736,0.42941506393253803,0.002801656723022461,0.0,9
n_600_c_10000000000_g_6_f_0.3_eps_0.01_s_300,9975028640,9775028062,15.546292732004076,0.0026214122772216797,0.02005012569066669,0
n_600_c_10000000000_g_6_f_0.3_eps_0.01_s_300,9975028640,9775028065,15.546292732004076,0.004309177398681641,0.02005012538991567,1
n_600_c_10000000000_g_6_f_0.3_eps_0.01_s_300,9975028640,9775028059,15.546292732004076,0.004642963409423828,0.020050125991417703,2
n_600_c_10000000000_g_6_f_0.3_eps_0.01_s_300,9975028640,9775028008,15.546292732004076,0.00938868522644043,0.02005013110418498,3
n_600_c_10000000000_g_6_f_0.3_eps_0.01_s_300,9975028640,9775028054,15.546292732004076,0.00421142578125,0.0200501264926694,4
