iterations,reward,runnnigTime
1100,707.0,12.946675062179565
1002,918.0,7.177310466766357
2,5.0,0.02267003059387207
2,0.5,0.02747797966003418
2,0.5,0.021176815032958984
2,0.5,0.02076125144958496
2,0.5,0.02166461944580078
2,0.5,0.022150516510009766
2,0.5,0.027494430541992188
2,5.0,0.024677515029907227
2,0.5,0.02028799057006836
2,0.5,0.019665002822875977
2,0.5,0.020260334014892578
2,0.5,0.01594090461730957
1022,981.5,14.15761423110962
2,5.0,0.0271909236907959
2,0.5,0.01557159423828125
2,5.0,0.01226353645324707
2,0.5,0.013501405715942383
2,0.5,0.013303041458129883
2,1.0,0.015006303787231445
2,0.5,0.0116119384765625
2,5.0,0.017165660858154297
2,5.0,0.01155996322631836
2,0.5,0.013658285140991211
2,0.5,0.014049053192138672
2,5.0,0.014336109161376953
2,0.5,0.015631675720214844
2,5.0,0.016522884368896484
2,0.5,0.011375904083251953
2,0.5,0.01088714599609375
2,0.5,0.011701107025146484
2,5.0,0.01767444610595703
2,5.0,0.01615309715270996
2,5.0,0.017528533935546875
2,0.5,0.014940023422241211
2,5.0,0.017782211303710938
2,0.5,0.01585531234741211
2,5.0,0.020466327667236328
2,0.5,0.01475834846496582
2,0.5,0.019941329956054688
2,5.0,0.01100015640258789
2,0.5,0.01394200325012207
2,5.0,0.0219724178314209
2,5.0,0.01236414909362793
2,5.0,0.005228996276855469
2,0.5,0.013740777969360352
2,1.0,0.013211965560913086
2,0.5,0.013686656951904297
2,5.0,0.021936893463134766
2,5.0,0.011953592300415039
2,0.5,0.017789125442504883
2,5.0,0.014113903045654297
2,0.5,0.012912511825561523
2,0.5,0.011521100997924805
2,0.5,0.010898828506469727
2,5.0,0.017414569854736328
2,0.5,0.005406379699707031
2,0.5,0.01441502571105957
1002,964.0,2.8301010131835938
2,0.5,0.02003955841064453
2,0.5,0.015787124633789062
2,5.0,0.019023656845092773
2,5.0,0.020123004913330078
2,5.0,0.01777935028076172
2,0.5,0.021422863006591797
2,0.5,0.015391826629638672
2,5.0,0.02047586441040039
2,0.5,0.027118206024169922
2,1.0,0.029089927673339844
2,5.0,0.025013446807861328
2,5.0,0.026341915130615234
2,0.5,0.019675254821777344
2,5.0,0.022405624389648438
2,5.0,0.02082991600036621
2,5.0,0.020587921142578125
2,5.0,0.025615692138671875
2,5.0,0.025365829467773438
2,5.0,0.015089750289916992
2,0.5,0.018443584442138672
2,5.0,0.04363417625427246
2,0.5,0.026607036590576172
2,5.0,0.036035776138305664
2,1.0,0.01435708999633789
2,5.0,0.00921630859375
2,0.5,0.02527451515197754
2,0.5,0.010902881622314453
2,0.5,0.015224456787109375
2,0.5,0.007241010665893555
2,5.0,0.025559186935424805
2,1.0,0.0193634033203125
2,0.5,0.028060436248779297
2,5.0,0.019809246063232422
2,0.5,0.016457080841064453
2,5.0,0.021169185638427734
2,5.0,0.027584075927734375
2,5.0,0.026221513748168945
2,5.0,0.01402735710144043
2,0.5,0.01565384864807129
2,5.0,0.016893625259399414
2,1.0,0.02322864532470703
2,0.5,0.017276525497436523
2,1.0,0.699944019317627
2,0.5,0.01847553253173828
2,1.0,0.019413471221923828
2,5.0,0.024348020553588867
2,5.0,0.023589134216308594
2,0.5,0.02071070671081543
2,0.5,0.025765419006347656
2,5.0,0.019880294799804688
2,1.0,0.015903234481811523
2,5.0,0.016724586486816406
2,0.5,0.016208648681640625
2,0.5,0.02304673194885254
2,0.5,0.025597095489501953
2,0.5,0.02477550506591797
2,5.0,0.015400886535644531
2,1.0,0.017948150634765625
2,0.5,0.017232656478881836
2,0.5,0.026104450225830078
2,1.0,0.02032923698425293
2,0.5,0.01888585090637207
2,0.5,0.024222850799560547
2,5.0,0.00954437255859375
2,0.5,0.02120661735534668
2,0.5,0.016934871673583984
2,5.0,0.036314964294433594
2,0.5,0.02568507194519043
2,5.0,0.022533416748046875
2,5.0,0.0276186466217041
2,5.0,0.015233516693115234
2,5.0,0.02785348892211914
2,0.5,0.016305208206176758
2,5.0,0.008217334747314453
2,0.5,0.018836498260498047
2,5.0,0.019720077514648438
2,5.0,0.02267169952392578
2,5.0,0.023732662200927734
2,1.0,0.011893987655639648
2,0.5,0.006182432174682617
2,5.0,0.02306675910949707
2,1.0,0.012758255004882812
2,5.0,0.0186159610748291
2,0.5,0.01122736930847168
2,0.5,0.01768350601196289
2,1.0,0.017846107482910156
2,5.0,0.023007631301879883
2,5.0,0.02260279655456543
2,5.0,0.022057771682739258
2,5.0,0.013323783874511719
2,5.0,0.018933534622192383
2,5.0,0.01724553108215332
2,5.0,0.025776386260986328
2,5.0,0.018544673919677734
2,5.0,0.016425609588623047
2,1.0,0.015373945236206055
2,5.0,0.019504070281982422
2,5.0,0.014276266098022461
2,5.0,0.023942947387695312
2,0.5,0.01950526237487793
2,5.0,0.024448871612548828
2,5.0,0.019115686416625977
2,1.0,0.018815279006958008
2,1.0,0.026437759399414062
2,1.0,0.024051189422607422
2,5.0,0.023977994918823242
2,5.0,0.012775421142578125
2,5.0,0.021214723587036133
2,0.5,0.02748894691467285
2,1.0,0.01700568199157715
2,0.5,0.017077922821044922
2,1.0,0.018596172332763672
2,5.0,0.020978927612304688
2,5.0,0.018952369689941406
2,1.0,0.021610736846923828
2,5.0,0.022955656051635742
2,1.0,0.02317667007446289
2,0.5,0.01648426055908203
2,1.0,0.018787860870361328
2,5.0,0.01746392250061035
2,5.0,0.023191213607788086
2,0.5,0.01900649070739746
2,0.5,0.019295692443847656
2,1.0,0.019896745681762695
2,1.0,0.011604547500610352
2,0.5,0.013716697692871094
2,0.5,0.029328584671020508
2,0.5,0.015351295471191406
2,1.0,0.016349077224731445
2,0.5,0.01702594757080078
2,5.0,0.010308504104614258
2,0.5,0.016153573989868164
2,5.0,0.01888895034790039
2,0.5,0.01130223274230957
2,1.0,0.007173776626586914
2,0.5,0.021239519119262695
2,0.5,0.018073558807373047
2,5.0,0.015617132186889648
2,5.0,0.026097536087036133
2,1.0,0.03011798858642578
2,5.0,0.012555360794067383
2,0.5,0.020583391189575195
2,0.5,0.011516094207763672
2,5.0,0.017236948013305664
2,5.0,0.01654815673828125
2,5.0,0.011074066162109375
2,5.0,0.02594590187072754
2,1.0,0.014295339584350586
2,0.5,0.01884317398071289
2,5.0,0.019704103469848633
2,0.5,0.7259690761566162
2,5.0,0.017084360122680664
2,1.0,0.18269777297973633
